127.0.0.1 - - [03/Mar/2023:13:48:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:48:54 +0530] "GET /BugTracking2/ HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:49:23 +0530] "GET /BugTracking2/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:49:23 +0530] "GET /BugTracking2/register/register.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:50:02 +0530] "POST /BugTracking2/register HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:50:10 +0530] "GET /BugTracking2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:50:10 +0530] "GET /BugTracking2/login/login.jsp HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:50:20 +0530] "POST /BugTracking2/login HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:50:24 +0530] "GET /BugTracking2/list HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:50:29 +0530] "GET /BugTracking2/new HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:51:14 +0530] "POST /BugTracking2/insert HTTP/1.1" 500 1696
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:51:44 +0530] "GET /BugTracking2/ HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:51:44 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:52:01 +0530] "POST /BugTracking2/login HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:52:05 +0530] "GET /BugTracking2/new HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:52:18 +0530] "POST /BugTracking2/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:52:18 +0530] "GET /BugTracking2/list HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:10:29 +0530] "GET /BugTracking2/bug/bug-add.jsp HTTP/1.1" 200 2398
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:10:43 +0530] "POST /BugTracking2/bug/insert HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:11:03 +0530] "GET /BugTracking2/list HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:11:05 +0530] "GET /BugTracking2/list HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:11:09 +0530] "GET /BugTracking2/edit?id=8 HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:11:17 +0530] "POST /BugTracking2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:11:17 +0530] "GET /BugTracking2/list HTTP/1.1" 200 2172
